ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J120310.86-015559.9,21.41,0.2,19.31,0.11,18.38,0.05,17.26,0.03,16.62,0.03,16.04,0.03,15.81,0.05,15.6,0.14,L0.5   ,2.36,       ,  ,Simbad,180.79525,-1.93331
J120357.45+001547.7,18.51,0.01,16.25,0.01,15.26,0.01,13.93,0.01,13.11,0.01,12.44,0.01,11.9,0.02,11.65,0.02,L4     ,8.54,L4     ,2,Simbad,180.98937,0.26325
J120444.67-015034.8,23.27,0.59,20.12,0.19,17.99,0.03,16.81,0.02,17.07,0.04,17.29,0.09,16.57,0.09,14.67,0.06,T6     ,7.22,T5.5   ,6,Simbad,181.18612,-1.843
J120512.55+124539.3,20.39,0.05,18.25,0.04,17.41,0.02,16.31,0.01,15.66,0.01,15.16,0.01,14.87,0.03,14.71,0.06,L0     ,6.44,       ,  ,Simbad,181.30229,12.76092
J120519.84+054834.5,20.9,0.07,18.88,0.05,17.97,0.03,16.98,0.02,16.41,0.02,15.92,0.03,15.67,0.05,15.2,0.09,L0     ,8.65,       ,  ,Simbad,181.33267,5.80958
J120545.92+084206.8,21.71,0.18,19.31,0.1,18.52,0.06,17.26,0.04,16.36,0.02,15.71,0.02,15.1,0.04,14.87,0.07,L4     ,2.73,       ,  ,Simbad,181.44133,8.70189
J120746.84+024426.1,21.1,0.11,17.87,0.04,16.62,0.01,15.45,0.01,14.71,0.01,14.19,0.01,13.43,0.03,12.79,0.03,T0.5   ,7.07,L8     ,11,Simbad,181.94517,2.74058
J120831.30+014925.6,18.92,0.02,16.89,0.02,16.03,0.01,15.08,0.01,14.48,0.01,13.98,0.01,13.59,0.03,13.32,0.03,L0     ,8.95,M9     ,3,Simbad,182.13042,1.82378
J120900.76-021149.5,21.19,0.11,19.46,0.12,18.37,0.03,17.37,0.03,16.8,0.02,16.25,0.03,15.96,0.07,15.5,0.16,L0     ,5.77,       ,  ,Simbad,182.25317,-2.19708
J120912.47+083102.5,21.05,0.09,18.92,0.06,17.9,0.02,16.71,0.01,15.98,0.01,15.38,0.01,15.02,0.04,14.78,0.07,L2     ,6.73,       ,  ,Simbad,182.30196,8.51736
J120934.59+003118.8,20.94,0.08,18.99,0.06,18.07,0.03,16.85,0.02,16.12,0.02,15.51,0.02,15.24,0.04,15.11,0.1,L1.5   ,6.85,       ,  ,Simbad,182.39412,0.52189
J120950.34+024902.4,21.27,0.13,19.09,0.1,18.33,0.03,17.22,0.02,16.53,0.02,15.94,0.03,15.7,0.05,15.54,0.12,L0.5   ,3.4,       ,  ,Simbad,182.45975,2.81733
J121001.98+030739.5,21.88,0.25,19.26,0.1,18.42,0.03,17.4,0.02,16.6,0.02,16.16,0.03,15.71,0.05,15.67,0.14,L1     ,11.56,L1.5   ,11,Simbad,182.50825,3.12764
J121019.23+033341.8,22.77,0.51,19.83,0.17,17.78,0.02,16.71,0.02,16.92,0.04,17.08,0.07,16.66,0.09,14.83,0.07,T5.5   ,8.56,       ,  ,Simbad,182.58012,3.56161
J121115.32+154230.0,21.51,0.1,19.62,0.08,18.75,0.03,17.49,0.02,16.86,0.04,16.25,0.03,15.86,0.05,15.37,0.1,L1.5   ,6.88,       ,  ,Simbad,182.81383,15.70833
J121130.09+040607.5,19.91,0.03,17.91,0.03,16.88,0.01,15.52,0.01,14.7,0.01,13.95,0.01,13.47,0.03,13.14,0.03,L4     ,9.25,L2:    ,6,Simbad,182.87537,4.10208
J121229.88+060407.8,20.9,0.09,18.93,0.06,18.04,0.03,17.07,0.02,16.42,0.02,15.91,0.03,     ,     ,     ,     ,L0:    ,1.76,       ,  ,Simbad,183.1245,6.06883
J121233.92+020627.0,19.89,0.05,17.94,0.04,16.97,0.01,15.78,0.01,15.01,0.01,14.33,0.01,14.05,0.03,13.87,0.04,L2     ,10.14,L1     ,15,Simbad,183.14133,2.1075
J121304.68+152921.2,20.34,0.07,18.22,0.05,17.25,0.01,16.17,0.01,15.69,0.02,15.18,0.02,14.83,0.03,14.45,0.05,L0     ,14.39,L1     ,7,Simbad,183.2695,15.48922
J121318.64+073350.1,21.27,0.08,19.25,0.07,18.35,0.03,17.31,0.02,16.68,0.02,16.17,0.03,15.84,0.05,15.5,0.11,L0     ,1.16,       ,  ,Simbad,183.32767,7.56392
J121415.48+104144.5,18.77,0.03,16.79,0.03,15.85,0.01,14.87,0.01,14.24,0.01,13.71,0.01,13.44,0.03,13.17,0.03,L0     ,2.09,M9     ,3,Simbad,183.5645,10.69569
J121427.06-012639.3,19.76,0.04,17.84,0.03,16.83,0.01,15.83,0.01,15.21,0.01,14.68,0.01,14.36,0.03,14.05,0.05,L0     ,4.75,       ,  ,Simbad,183.61275,-1.44425
J121502.92+024650.0,21.69,0.17,19.25,0.1,18.49,0.04,17.38,0.02,16.73,0.03,16.32,0.04,15.98,0.06,15.56,0.14,L0     ,8.46,       ,  ,Simbad,183.76217,2.78056
J121518.27+004257.2,19.75,0.03,17.75,0.03,16.79,0.01,15.6,0.01,14.87,0.01,14.3,0.01,13.97,0.03,13.77,0.05,L1.5   ,5.9,       ,  ,Simbad,183.82612,0.71589
J121521.35-002120.8,21.49,0.14,19.66,0.13,18.66,0.06,17.37,0.03,16.63,0.04,15.94,0.04,15.44,0.04,15.14,0.11,L3     ,2.57,       ,  ,Simbad,183.83896,-0.35578
J121554.53+031435.6,21.59,0.18,19.37,0.1,18.6,0.04,17.21,0.02,16.35,0.02,15.64,0.02,15.16,0.04,14.94,0.08,L4     ,6.31,       ,  ,Simbad,183.97721,3.24322
J121714.23+041255.5,20.36,0.06,18.32,0.05,17.58,0.02,16.6,0.01,16.02,0.02,15.46,0.02,15.02,0.04,14.67,0.07,L0     ,16.78,M9     ,6,Simbad,184.30929,4.21542
J121735.50+070832.1,20.46,0.05,18.59,0.04,17.57,0.02,16.35,0.01,15.68,0.01,15.07,0.01,14.77,0.03,14.56,0.06,L1.5   ,8.21,L1:    ,6,Simbad,184.39792,7.14225
J121932.50+015432.2,18.89,0.03,16.85,0.02,15.99,0.01,14.98,0.01,14.31,0.01,13.79,0.01,     ,     ,     ,     ,L0:    ,0.48,       ,  ,Simbad,184.88542,1.90894
J122005.30+075933.7,21.23,0.08,19.34,0.07,18.4,0.03,17.36,0.02,16.72,0.02,16.17,0.03,15.85,0.05,15.65,0.13,L0     ,1.59,       ,  ,Simbad,185.02208,7.99269
J122047.85-010020.4,21.04,0.09,19.28,0.08,18.44,0.05,17.42,0.03,16.73,0.04,16.27,0.04,15.82,0.06,15.88,0.2,L0     ,10.21,       ,  ,Simbad,185.19937,-1.00567
J122057.99+020142.2,21.19,0.11,19.22,0.1,18.29,0.03,17.12,0.02,16.41,0.03,15.83,0.03,15.48,0.05,15.26,0.11,L1.5   ,0.81,       ,  ,Simbad,185.24162,2.02839
J122106.42+085550.8,20.47,0.06,18.63,0.05,17.69,0.02,16.62,0.01,15.91,0.01,15.33,0.02,14.97,0.04,14.8,0.07,L1     ,4.76,       ,  ,Simbad,185.27675,8.93078
J122127.62+025719.5,17.05,0.02,15.08,0.02,14.12,0.01,13.07,0.01,12.44,0.01,11.91,0.01,11.65,0.02,11.37,0.02,L0     ,3.57,L0     ,1,Simbad,185.36508,2.95542
J122325.69+044827.6,21.1,0.12,18.81,0.08,17.68,0.02,16.37,0.01,15.45,0.01,14.65,0.01,14.02,0.03,13.74,0.04,L5.5   ,3.94,       ,  ,Simbad,185.85704,4.80767
J122350.25+074020.2,21.49,0.1,19.57,0.09,18.53,0.04,17.45,0.02,16.93,0.02,16.36,0.03,16.01,0.06,16,0.19,L0     ,6.41,       ,  ,Simbad,185.95937,7.67228
J122416.18-015300.7,21.06,0.11,19.29,0.09,18.46,0.05,17.3,0.03,16.62,0.03,16.07,0.04,15.96,0.06,15.63,0.18,L0     ,9.35,       ,  ,Simbad,186.06742,-1.88353
J122523.99-021559.9,20.34,0.06,18.41,0.06,17.48,0.02,16.38,0.01,15.72,0.01,15.08,0.01,14.7,0.03,14.32,0.06,L1.5   ,5.01,L3     ,7,Simbad,186.34996,-2.26664
J122526.12+060613.5,21.17,0.17,19.19,0.08,18.32,0.03,17.31,0.02,16.59,0.02,16.06,0.03,     ,     ,     ,     ,L0.5:  ,1.18,       ,  ,Simbad,186.35883,6.10375
J122535.59+145507.1,21.01,0.06,19.03,0.05,18.19,0.04,17.26,0.02,16.62,0.02,16.03,0.03,15.59,0.04,15.24,0.09,L0     ,13.24,       ,  ,Simbad,186.39829,14.91864
J122628.68+083539.7,20.49,0.07,18.58,0.05,17.63,0.02,16.64,0.01,15.95,0.01,15.45,0.01,15.16,0.04,15.03,0.1,L0     ,3.69,       ,  ,Simbad,186.6195,8.59436
J122718.18+021353.3,21.66,0.18,19.62,0.15,18.5,0.03,17.26,0.02,16.43,0.02,15.75,0.02,15.38,0.04,15.11,0.1,L3     ,4.77,       ,  ,Simbad,186.82575,2.23147
J122809.69-024646.8,21.08,0.09,18.93,0.07,18.13,0.03,17.14,0.02,16.5,0.02,15.98,0.02,15.74,0.05,15.48,0.12,L0     ,3.78,       ,  ,Simbad,187.04037,-2.77967
J122812.39+110113.4,19.39,0.03,17.43,0.03,16.44,0.01,15.4,0.01,14.75,0.01,14.16,0.01,13.82,0.03,13.52,0.03,L1     ,2.96,L0.5:  ,6,Simbad,187.05162,11.02039
J122855.36+005043.7,19.81,0.04,17.64,0.03,16.49,0.01,15.49,0.01,14.83,0.01,14.18,0.01,13.8,0.03,13.33,0.04,L2p    ,30.54,L0     ,3,Simbad,187.23067,0.84547
J122901.03-014420.5,21.22,0.15,19.17,0.11,18.22,0.03,17.17,0.02,16.55,0.03,16.05,0.03,15.69,0.05,15.54,0.13,L0     ,2.14,       ,  ,Simbad,187.25429,-1.73903
J123146.99+084725.8,22.44,0.28,18.4,0.04,16.34,0.01,15.15,0.01,15.46,0.01,15.55,0.02,15.07,0.04,13.08,0.03,T6     ,13.69,T5.5   ,1,Simbad,187.94579,8.7905
J123200.78+022344.2,19.91,0.04,17.9,0.04,17.02,0.01,15.97,0.01,15.3,0.01,14.75,0.01,14.46,0.03,14.17,0.05,L0.5   ,0.43,L0     ,4,Simbad,188.00325,2.39561
J123211.70-011629.5,20.96,0.14,18.91,0.1,18.01,0.03,17.09,0.02,16.49,0.03,15.91,0.03,15.51,0.04,15.43,0.12,L0     ,7.04,       ,  ,Simbad,188.04875,-1.27486
J123247.18+052702.9,20.88,0.1,18.92,0.07,18,0.03,17.02,0.02,16.29,0.02,15.72,0.02,15.38,0.04,15.28,0.12,L0.5   ,3.7,       ,  ,Simbad,188.19658,5.45081
J123342.83+004503.8,21.76,0.16,19.67,0.11,18.54,0.06,17.44,0.03,16.74,0.03,16.05,0.02,15.74,0.05,15.55,0.13,L2     ,5.7,       ,  ,Simbad,188.42846,0.75106
J123346.99+075729.9,21.06,0.07,19.1,0.06,18.4,0.04,17.3,0.03,16.71,0.02,16.18,0.03,15.76,0.06,15.42,0.14,L0     ,8.77,       ,  ,Simbad,188.44579,7.95831
J123358.95-021031.0,20.98,0.12,19.04,0.1,18.21,0.03,16.95,0.02,16.22,0.01,15.55,0.02,15.28,0.04,15.11,0.09,L2     ,7.5,       ,  ,Simbad,188.49562,-2.17528
J123508.16+061513.6,20.25,0.04,18.25,0.04,17.34,0.01,16.24,0.01,15.54,0.01,14.95,0.01,14.62,0.03,14.37,0.06,L1     ,0.68,L1:    ,6,Simbad,188.784,6.25378
J123544.97+035428.9,20.22,0.07,18.36,0.05,17.31,0.02,16.24,0.01,15.62,0.01,15.07,0.02,     ,     ,     ,     ,L0.5:  ,4.52,L1:    ,6,Simbad,188.93737,3.90803
J123552.04+031602.8,21.15,0.13,19.18,0.1,18.3,0.03,17.3,0.02,16.61,0.02,16.05,0.03,15.73,0.05,15.63,0.15,L0     ,2.45,       ,  ,Simbad,188.96683,3.26744
J123637.41+061925.2,20.78,0.06,18.73,0.05,17.8,0.02,16.7,0.01,16,0.01,15.44,0.02,15.17,0.04,15.02,0.09,L1     ,5.22,       ,  ,Simbad,189.15587,6.32367
J123701.42+005125.7,20.53,0.07,18.46,0.05,17.5,0.02,16.6,0.02,15.99,0.01,15.43,0.01,15.17,0.04,14.83,0.07,L0     ,6.48,       ,  ,Simbad,189.25592,0.85714
J123732.11-024315.2,21.68,0.16,19.6,0.12,18.51,0.04,17.14,0.02,16.26,0.01,15.57,0.01,14.99,0.04,14.79,0.07,L4.5   ,5.71,       ,  ,Simbad,189.38379,-2.72089
J123754.49+060736.0,23.99,0.96,19.67,0.11,18.4,0.03,17.2,0.02,16.4,0.02,15.85,0.02,15.13,0.04,14.35,0.06,T0     ,2.43,       ,  ,Simbad,189.47704,6.12667
J123755.16+021457.4,20.81,0.12,18.69,0.06,17.96,0.03,16.88,0.02,16.19,0.02,15.67,0.02,15.27,0.04,14.94,0.07,L0.5   ,5.35,       ,  ,Simbad,189.47983,2.24928
J123901.14-005426.6,21.06,0.1,18.91,0.07,17.66,0.02,16.43,0.01,15.58,0.01,14.89,0.01,     ,     ,     ,     ,L4.5:  ,10.59,       ,  ,Simbad,189.75475,-0.90739
J123918.42-025943.9,20.63,0.09,18.69,0.06,17.86,0.03,16.89,0.02,16.2,0.01,15.59,0.02,15.31,0.04,15.24,0.1,L0     ,6.73,       ,  ,Simbad,189.82675,-2.99553
J124008.15+041930.2,21.15,0.12,19.06,0.08,18.27,0.04,17.25,0.03,16.59,0.03,15.97,0.03,15.53,0.04,15.35,0.11,L1     ,6.79,       ,  ,Simbad,190.03396,4.32506
J124010.34+060350.1,20.76,0.09,18.78,0.07,18,0.03,16.92,0.02,16.28,0.01,15.78,0.02,15.27,0.04,15.07,0.09,L0.5   ,8.72,       ,  ,Simbad,190.04308,6.06392
J124032.92+342311.9,20.91,0.07,18.98,0.06,18.03,0.04,16.9,0.02,16.19,0.02,15.65,0.02,15.23,0.06,15.05,0.09,L1.5   ,2.25,       ,  ,Simbad,190.13717,34.38664
J124053.47+060253.6,19.82,0.04,17.84,0.03,16.93,0.01,15.98,0.01,15.36,0.01,14.79,0.01,14.53,0.03,14.29,0.05,L0     ,4.39,M9:    ,6,Simbad,190.22279,6.04822
J124154.83+124710.2,21.11,0.08,19.16,0.07,18.4,0.05,17.34,0.03,16.69,0.02,16.11,0.03,15.93,0.05,15.74,0.16,L0     ,4.52,       ,  ,Simbad,190.47846,12.78617
J124225.70+081910.1,21.04,0.08,19.35,0.08,18.4,0.03,17.36,0.02,16.76,0.02,16.22,0.03,15.55,0.04,15.03,0.09,L1p    ,46.96,       ,  ,Simbad,190.60708,8.31947
J124228.00+311745.4,21.42,0.14,19.29,0.1,18.46,0.04,17.27,0.03,16.65,0.02,15.96,0.02,15.64,0.05,15.45,0.1,L1.5   ,2.51,       ,  ,Simbad,190.61667,31.29594
J124246.77+110841.3,21.31,0.13,19.1,0.08,18.29,0.03,17.26,0.02,16.68,0.03,16.09,0.02,16.02,0.06,15.31,0.11,L0     ,12.91,       ,  ,Simbad,190.69487,11.14481
J124250.49+235723.0,18.92,0.02,16.95,0.03,16.01,0.01,15.08,0.01,14.45,0.01,13.89,0.01,13.64,0.03,13.36,0.03,L0     ,5.59,L0:    ,6,Simbad,190.71037,23.95639
J124307.94+024203.8,22.37,0.39,19.64,0.16,18.7,0.05,17.45,0.03,16.6,0.02,15.86,0.02,15.27,0.04,14.94,0.08,L4.5   ,2.03,       ,  ,Simbad,190.78308,2.70106
J124426.52+265556.5,     ,     ,20.47,0.32,18.66,0.05,17.4,0.02,17.41,0.05,17.25,0.08,16.96,0.11,15.66,0.12,T4     ,8.03,       ,  ,Simbad,191.1105,26.93236
J124437.81+224341.7,20.97,0.07,18.97,0.06,18.12,0.03,17.11,0.02,16.46,0.02,15.92,0.02,15.61,0.05,15.15,0.09,L0     ,4.35,       ,  ,Simbad,191.15754,22.72825
J124438.95+090418.1,20.57,0.06,18.61,0.05,17.75,0.03,16.77,0.01,16.09,0.02,15.51,0.02,15.38,0.04,15.25,0.11,L0     ,10.19,L0.5:  ,6,Simbad,191.16229,9.07169
J124514.96+120441.9,20.17,0.04,18.12,0.03,17.14,0.02,16.06,0.01,15.33,0.01,14.67,0.01,14.38,0.03,14.13,0.05,L1.5   ,4.66,L1     ,7,Simbad,191.31233,12.07831
J124521.28+143906.7,21.06,0.11,19.11,0.1,18.19,0.04,17.17,0.02,16.51,0.02,15.97,0.03,15.63,0.05,15.29,0.1,L0.5   ,1.37,       ,  ,Simbad,191.33867,14.65186
J124531.54+015630.9,19.66,0.03,17.89,0.04,16.84,0.01,15.81,0.01,15.1,0.01,14.6,0.01,     ,     ,     ,     ,L0.5:  ,10.02,       ,  ,Simbad,191.38142,1.94192
J124533.32+024944.5,20.76,0.07,18.67,0.05,17.72,0.02,16.65,0.01,15.99,0.01,15.42,0.02,15.14,0.04,14.9,0.07,L0.5   ,3.91,       ,  ,Simbad,191.38883,2.82903
J124651.63+121516.7,21.12,0.1,19.01,0.07,18.23,0.04,17.18,0.02,16.56,0.02,15.96,0.03,15.72,0.04,15.44,0.11,L0     ,1.4,       ,  ,Simbad,191.71512,12.25464
J124724.62-003958.7,21.14,0.09,19.26,0.08,18.29,0.04,17.23,0.03,16.54,0.03,15.95,0.03,15.7,0.05,15.17,0.09,L1     ,5.46,       ,  ,Simbad,191.85258,-0.66631
J124732.04+301822.7,21.44,0.16,19.39,0.11,18.2,0.03,17.25,0.02,16.59,0.03,16.03,0.03,15.83,0.05,15.48,0.1,L0     ,10.72,       ,  ,Simbad,191.8835,30.30631
J124734.05+002721.1,21.57,0.13,19.56,0.09,18.65,0.05,17.43,0.03,16.59,0.02,15.93,0.02,15.3,0.04,15.13,0.09,L3.5   ,3.44,       ,  ,Simbad,191.89187,0.45586
J124736.05-005523.1,20.93,0.08,18.94,0.06,17.97,0.03,16.73,0.02,15.91,0.02,15.22,0.02,14.86,0.03,14.51,0.06,L3     ,3.71,       ,  ,Simbad,191.90021,-0.92308
J124922.71+031025.6,20.59,0.05,18.46,0.04,17.39,0.02,16.18,0.01,15.37,0.01,14.65,0.01,14.15,0.03,13.73,0.04,L4     ,5.51,       ,  ,Simbad,192.34462,3.17378
J124941.62+345758.5,20.51,0.06,18.49,0.06,17.62,0.02,16.65,0.02,16.07,0.02,15.53,0.02,15.25,0.04,14.86,0.06,L0     ,5.8,       ,  ,Simbad,192.42342,34.96625
J125015.55+045506.6,19.1,0.03,17.13,0.03,16.13,0.01,15.07,0.01,14.42,0.01,13.85,0.01,     ,     ,     ,     ,L1:    ,2.7,       ,  ,Simbad,192.56479,4.9185
J125015.59+262846.7,22.62,0.33,19.8,0.12,17.75,0.02,16.4,0.01,16.74,0.02,16.79,0.05,16.41,0.07,14.59,0.05,T5p    ,20.98,T6.5   ,12,Simbad,192.56496,26.47964
J125031.97+301946.2,21.36,0.16,19.16,0.09,18.19,0.03,17.17,0.02,16.54,0.03,15.95,0.02,15.74,0.05,15.45,0.11,L0     ,4.95,       ,  ,Simbad,192.63321,30.3295
J125035.58+231325.5,21.81,0.16,19.64,0.1,18.82,0.06,17.42,0.03,16.58,0.03,15.88,0.02,15.48,0.04,15.09,0.07,L3.5   ,5.62,       ,  ,Simbad,192.64825,23.22375
J125044.44+225139.3,20.85,0.08,18.86,0.05,17.9,0.03,16.87,0.02,16.28,0.02,15.73,0.02,15.41,0.04,15.23,0.09,L0     ,2.41,       ,  ,Simbad,192.68517,22.86092
J125050.41+302549.3,20.08,0.04,18.12,0.04,17.13,0.01,16.17,0.01,15.57,0.01,15.07,0.01,14.77,0.03,14.4,0.05,L0     ,6.34,       ,  ,Simbad,192.71004,30.43036
J125142.26+111734.7,20.91,0.08,18.93,0.06,18.07,0.03,17.02,0.02,16.4,0.02,15.87,0.02,15.58,0.05,15.3,0.11,L0     ,0.24,       ,  ,Simbad,192.92608,11.29297
J125214.08+142239.3,20.21,0.05,18.22,0.03,17.28,0.02,16.05,0.01,15.24,0.01,14.58,0.01,14.22,0.03,13.95,0.04,L2.5   ,3.92,L3     ,7,Simbad,193.05867,14.37758
J125238.22+034735.0,19.88,0.04,17.88,0.03,16.97,0.01,15.95,0.01,15.27,0.01,14.72,0.01,14.41,0.03,14.15,0.05,L0.5   ,0.83,M7     ,6,Simbad,193.15925,3.79306
J125309.65+062950.3,21.25,0.13,19.31,0.1,18.43,0.04,17.46,0.03,16.87,0.03,16.23,0.03,15.92,0.06,15.41,0.1,L0     ,8.88,       ,  ,Simbad,193.29021,6.49731
J125317.55+061825.4,20.91,0.07,18.97,0.06,17.84,0.03,16.62,0.01,15.74,0.01,15.02,0.01,14.6,0.03,14.26,0.05,L3.5   ,8.4,       ,  ,Simbad,193.32312,6.30706
J125323.21+301606.7,     ,     ,     ,     ,18.97,0.07,17.38,0.03,17.28,0.04,17.26,0.07,     ,     ,     ,     ,T3.5:: ,19.58,       ,  ,Simbad,193.34671,30.26853
J125335.06+342727.5,21.12,0.07,19.11,0.06,18.29,0.04,17.32,0.03,16.61,0.04,16.09,0.03,15.76,0.05,15.39,0.09,L0     ,3.53,       ,  ,Simbad,193.39608,34.45764
J125336.43+343427.8,21.59,0.13,19.31,0.08,18.54,0.05,17.35,0.03,16.8,0.04,16.28,0.03,15.95,0.05,15.68,0.12,L0.5   ,5.94,       ,  ,Simbad,193.40179,34.57439
J125340.59-030316.7,21.35,0.15,19.05,0.09,18.57,0.04,16.93,0.02,16.2,0.02,15.52,0.02,15.08,0.03,14.79,0.08,L3.5p  ,27.07,       ,  ,Simbad,193.41912,-3.05464
J125354.36+025143.6,21.48,0.16,19.47,0.13,18.63,0.04,17.46,0.02,16.82,0.04,16.29,0.03,15.93,0.06,15.98,0.18,L0.5   ,3.82,       ,  ,Simbad,193.4765,2.86211
J125355.20+250540.3,20.82,0.07,19.04,0.07,17.97,0.03,16.95,0.02,16.39,0.02,15.85,0.02,15.5,0.04,15.17,0.08,L0     ,6.79,       ,  ,Simbad,193.48,25.09453
J125408.69+292653.0,21.21,0.12,19.09,0.08,18.32,0.04,17.24,0.02,16.63,0.03,16.08,0.03,15.88,0.05,15.76,0.13,L0     ,4.95,       ,  ,Simbad,193.53621,29.44806
J125414.31+051139.2,21,0.08,18.96,0.06,18.11,0.03,17.1,0.02,16.38,0.03,15.87,0.03,15.6,0.05,15.7,0.13,L0     ,8.52,       ,  ,Simbad,193.55962,5.19422
J125437.60+293832.5,19.35,0.04,17.34,0.03,16.41,0.01,15.31,0.01,14.62,0.01,14.04,0.01,13.78,0.03,13.48,0.03,L1     ,2.03,L0     ,4,Simbad,193.65667,29.64236
J125442.32+311322.9,20.3,0.05,18.38,0.05,17.47,0.02,16.46,0.01,15.79,0.02,15.22,0.01,14.89,0.03,14.71,0.05,L0     ,3.52,       ,  ,Simbad,193.67633,31.22303
J125453.59-012246.2,21.88,0.28,17.52,0.03,15.86,0.01,14.67,0.01,14.14,0.01,13.89,0.01,13.31,0.03,12.41,0.02,T2p    ,31.85,T2     ,13,Simbad,193.72329,-1.3795
J125459.32+263107.0,20.42,0.06,18.26,0.04,17.49,0.02,16.36,0.01,15.71,0.01,15.15,0.01,14.9,0.03,14.61,0.05,L0.5   ,3.62,L1     ,7,Simbad,193.74717,26.51861
J125512.61+151123.0,21.54,0.13,19.57,0.1,18.48,0.03,17.24,0.02,16.56,0.03,16.1,0.03,15.59,0.04,15.35,0.09,L2     ,10.59,       ,  ,Simbad,193.80254,15.18972
J125514.22+343711.0,21.68,0.15,19.42,0.09,18.39,0.04,17.24,0.03,16.59,0.04,15.96,0.03,15.62,0.04,15.27,0.08,L1.5   ,6.86,       ,  ,Simbad,193.80925,34.61972
J125528.73+053304.5,21.4,0.12,19.46,0.1,18.45,0.04,17.28,0.02,16.46,0.02,15.77,0.02,15.54,0.05,15.27,0.1,L2.5   ,8.15,       ,  ,Simbad,193.86971,5.55125
J125546.00+242236.8,21.22,0.08,19.15,0.06,18.33,0.04,17.3,0.02,16.64,0.03,16.08,0.03,15.82,0.04,15.56,0.1,L0     ,0.69,       ,  ,Simbad,193.94167,24.37689
J125615.00+284015.1,21.51,0.12,19.47,0.09,18.61,0.05,17.46,0.03,16.69,0.02,16.05,0.03,15.67,0.05,15.34,0.09,L2     ,0.91,       ,  ,Simbad,194.0625,28.67086
J125633.00+281833.8,20.61,0.08,18.71,0.05,17.68,0.02,16.66,0.02,16.04,0.01,15.52,0.02,15.06,0.03,14.89,0.07,L0.5   ,7.03,       ,  ,Simbad,194.1375,28.30939
J125650.15+072131.0,21.18,0.13,19.18,0.1,18.37,0.04,17.4,0.03,16.74,0.03,16.15,0.03,15.93,0.06,15.6,0.13,L0     ,1.87,       ,  ,Simbad,194.20896,7.35861
J125656.75+014616.2,18.6,0.02,16.62,0.02,15.71,0.01,14.42,0.01,13.5,0.01,12.82,0.01,12.34,0.02,12.04,0.02,L3.5   ,10.04,L2     ,15,Simbad,194.23646,1.77117
J125732.18+232142.7,21.16,0.11,19.15,0.07,18.24,0.04,16.99,0.02,16.16,0.02,15.37,0.02,14.93,0.03,14.61,0.05,L3.5   ,3.71,       ,  ,Simbad,194.38408,23.36186
J125737.32-011336.1,20.39,0.05,18,0.03,17.03,0.01,15.64,0.01,14.82,0.01,14.14,0.01,13.51,0.03,13.21,0.03,L4.5   ,8.97,L4     ,2,Simbad,194.4055,-1.22669
J125742.21+122845.2,20.88,0.07,19.05,0.07,18.11,0.03,17.13,0.02,16.38,0.02,15.81,0.02,15.57,0.05,15.33,0.1,L0.5   ,6.07,       ,  ,Simbad,194.42587,12.47922
J125803.51+263428.9,22.98,0.4,19.78,0.12,18.56,0.04,17.33,0.02,16.59,0.02,16.16,0.03,15.77,0.05,15.25,0.08,L2p    ,30.64,       ,  ,Simbad,194.51462,26.57469
J125816.55+154833.4,21.16,0.14,19.13,0.1,18.22,0.04,17.1,0.03,16.51,0.02,15.9,0.02,15.63,0.04,15.45,0.11,L0.5   ,1.8,       ,  ,Simbad,194.56896,15.80928
J125839.91+232310.1,21.62,0.16,19.42,0.11,18.64,0.05,17.42,0.03,16.63,0.03,16.04,0.03,15.64,0.04,15.35,0.08,L2     ,2.22,       ,  ,Simbad,194.66629,23.38614
J125915.29+235608.7,21.19,0.08,19.16,0.06,18.4,0.04,17.37,0.02,16.65,0.02,16.09,0.02,15.87,0.05,15.63,0.11,L0     ,3.49,       ,  ,Simbad,194.81371,23.93575
J125924.87+022352.4,21.27,0.12,19.08,0.09,18.36,0.04,17.15,0.02,16.5,0.03,15.87,0.02,15.41,0.04,15.23,0.09,L1.5   ,4.37,       ,  ,Simbad,194.85362,2.39789
J125941.59+100138.3,21.59,0.14,19.52,0.1,18.47,0.03,17.01,0.01,15.88,0.01,14.9,0.01,     ,     ,     ,     ,L6.5p: ,59.44,       ,  ,Simbad,194.92329,10.02731
J130000.11+345104.2,20.93,0.07,18.87,0.06,17.94,0.03,16.84,0.02,16.27,0.02,15.71,0.02,15.39,0.04,15.29,0.08,L0.5   ,6.23,       ,  ,Simbad,195.00046,34.85117
J130041.74+122114.7,     ,     ,19.79,0.18,17.72,0.02,16.69,0.01,17.01,0.04,16.9,0.06,16.04,0.06,13.85,0.04,T7.5p  ,32.62,T8.5   ,14,Simbad,195.17392,12.35408
J130146.15+045341.0,20.93,0.07,18.88,0.06,17.97,0.03,16.73,0.01,15.94,0.02,15.28,0.01,14.81,0.03,14.54,0.06,L3     ,0.7,       ,  ,Simbad,195.44229,4.89472
