ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J091802.40+301752.1,21.21,0.1,19.08,0.08,18.24,0.04,17.16,0.02,16.42,0.02,15.81,0.02,15.39,0.04,15.18,0.09,L1.5   ,2.51,       ,  ,Simbad,139.51,30.29781
J091853.50+044301.6,21.52,0.18,18.99,0.07,18.34,0.03,17.3,0.03,16.57,0.03,16.01,0.03,15.5,0.04,15.15,0.09,L1.5   ,19.25,       ,  ,Simbad,139.72292,4.71711
J091937.41-000108.2,21.58,0.17,19.46,0.13,18.53,0.04,17.3,0.02,16.56,0.02,15.9,0.02,15.59,0.05,15.35,0.1,L2     ,3.36,       ,  ,Simbad,139.90587,-0.01894
J092050.02+110612.4,20.95,0.08,18.91,0.07,18.11,0.04,17.08,0.02,16.43,0.02,15.87,0.02,15.53,0.05,15.2,0.09,L0     ,2.62,       ,  ,Simbad,140.20842,11.10344
J092101.20-002019.1,20.98,0.08,19.02,0.07,18.22,0.03,17.14,0.02,16.35,0.02,15.76,0.02,     ,     ,     ,     ,L1:    ,5.24,       ,  ,Simbad,140.255,-0.33864
J092113.29+053052.4,20.85,0.07,18.74,0.05,17.99,0.03,16.85,0.02,16.22,0.03,15.71,0.02,15.43,0.04,15.25,0.09,L0     ,3.69,       ,  ,Simbad,140.30537,5.51456
J092151.15+075811.9,20.98,0.09,18.91,0.06,18.06,0.03,17.13,0.01,16.44,0.02,15.97,0.02,15.58,0.05,15.26,0.09,L0     ,4.95,       ,  ,Simbad,140.46312,7.96997
J092211.60+070025.7,20.54,0.07,18.58,0.06,17.65,0.03,16.63,0.01,15.91,0.01,15.37,0.01,14.92,0.04,14.6,0.06,L1     ,6.19,M9.5:  ,6,Simbad,140.54833,7.00714
J092304.34+073949.2,21.41,0.13,19.35,0.09,18.33,0.04,17.27,0.02,16.65,0.03,16.13,0.03,     ,     ,     ,     ,L0.5:  ,3.53,       ,  ,Simbad,140.76808,7.66367
J092432.33+014946.2,20.83,0.09,18.6,0.07,17.78,0.03,16.6,0.01,15.89,0.01,15.24,0.01,14.95,0.03,14.63,0.06,L2     ,4.22,L2.5:  ,6,Simbad,141.13471,1.8295
J092436.06-021526.8,19.69,0.05,17.69,0.03,16.82,0.01,15.8,0.01,15.16,0.01,14.6,0.01,14.36,0.03,14.1,0.05,L0     ,0.97,L0:    ,6,Simbad,141.15025,-2.25744
J092510.70+321618.7,18.9,0.02,16.91,0.02,16.01,0.01,15.05,0.01,14.42,0.01,13.88,0.01,13.58,0.03,13.28,0.03,L0     ,2.6,       ,  ,Simbad,141.29458,32.27186
J092909.55-002942.8,21.3,0.13,19.23,0.08,18.39,0.03,17.05,0.02,16.2,0.02,15.48,0.02,15.05,0.04,14.71,0.06,L3.5   ,4.13,       ,  ,Simbad,142.28979,-0.49522
